protocol,workload,round_id,sample_id,command_id,command,latency_ms,output_bytes,throughput_kib_s,status,error_type,error_message
ssh,find /,1,1,1,find /,31.195688,58312,1825.422555,ok,,
ssh,find /,1,2,1,find /,17.844378,58312,3191.218685,ok,,
ssh,find /,1,3,1,find /,20.657642,58312,2756.622101,ok,,
ssh,find /,1,4,1,find /,16.802432,58312,3389.111320,ok,,
ssh,find /,1,5,1,find /,19.905712,58312,2860.752356,ok,,
ssh,find /,1,6,1,find /,35.283610,58312,1613.931015,ok,,
ssh,find /,1,7,1,find /,31.919200,58312,1784.045731,ok,,
ssh,find /,1,8,1,find /,24.161831,58312,2356.829352,ok,,
ssh,find /,1,9,1,find /,18.368739,58312,3100.120945,ok,,
ssh,find /,1,10,1,find /,23.393527,58312,2434.233731,ok,,
ssh,find /,1,11,1,find /,16.318232,58312,3489.674157,ok,,
ssh,find /,1,12,1,find /,17.672133,58312,3222.322540,ok,,
ssh,find /,1,13,1,find /,21.222462,58312,2683.256660,ok,,
ssh,find /,1,14,1,find /,18.764796,58312,3034.688600,ok,,
ssh,find /,1,15,1,find /,19.066253,58312,2986.707063,ok,,
ssh,find /,1,16,1,find /,15.614097,58312,3647.044879,ok,,
ssh,find /,1,17,1,find /,24.022991,58327,2371.060329,ok,,
ssh,find /,1,18,1,find /,13.793323,58312,4128.469441,ok,,
ssh,find /,1,19,1,find /,22.250114,58312,2559.326775,ok,,
ssh,find /,1,20,1,find /,20.384898,58312,2793.504903,ok,,
ssh,find /,1,21,1,find /,17.837665,58312,3192.419664,ok,,
ssh,find /,1,22,1,find /,17.283687,58312,3294.743332,ok,,
ssh,find /,1,23,1,find /,21.888680,58312,2601.587327,ok,,
ssh,find /,1,24,1,find /,14.475791,58312,3933.830801,ok,,
ssh,find /,1,25,1,find /,19.759824,58312,2881.873467,ok,,
ssh,find /,1,26,1,find /,21.284489,58312,2675.437146,ok,,
ssh,find /,1,27,1,find /,17.810603,58312,3197.270328,ok,,
ssh,find /,1,28,1,find /,20.778512,58312,2740.586645,ok,,
ssh,find /,1,29,1,find /,22.168204,58312,2568.783312,ok,,
ssh,find /,1,30,1,find /,16.720388,58312,3405.741093,ok,,
ssh,find /,1,31,1,find /,19.794420,58327,2877.576657,ok,,
ssh,find /,1,32,1,find /,18.407290,58312,3093.628258,ok,,
ssh,find /,1,33,1,find /,19.855835,58312,2867.938442,ok,,
ssh,find /,1,34,1,find /,19.168371,58312,2970.795614,ok,,
ssh,find /,1,35,1,find /,20.159289,58312,2824.767902,ok,,
ssh,find /,1,36,1,find /,18.141502,58312,3138.952469,ok,,
ssh,find /,1,37,1,find /,17.863732,58312,3187.761242,ok,,
ssh,find /,1,38,1,find /,19.940854,58312,2855.710819,ok,,
ssh,find /,1,39,1,find /,18.796076,58312,3029.638340,ok,,
ssh,find /,1,40,1,find /,22.566909,58312,2523.398862,ok,,
ssh,find /,1,41,1,find /,17.702590,58312,3216.778590,ok,,
ssh,find /,1,42,1,find /,19.386276,58312,2937.403372,ok,,
ssh,find /,1,43,1,find /,18.490015,58312,3079.787253,ok,,
ssh,find /,1,44,1,find /,22.620633,58312,2517.405791,ok,,
ssh,find /,1,45,1,find /,18.798256,58312,3029.286999,ok,,
ssh,find /,1,46,1,find /,17.047696,58312,3340.352415,ok,,
ssh,find /,1,47,1,find /,17.918573,58312,3178.004884,ok,,
ssh,find /,1,48,1,find /,18.618136,58312,3058.593648,ok,,
ssh,find /,1,49,1,find /,17.387313,58312,3275.107114,ok,,
ssh,find /,1,50,1,find /,22.431910,58312,2538.585100,ok,,
ssh,find /,1,51,1,find /,18.567038,58312,3067.011146,ok,,
ssh,find /,1,52,1,find /,20.927880,58312,2721.026329,ok,,
ssh,find /,1,53,1,find /,15.109856,58312,3768.752826,ok,,
ssh,find /,1,54,1,find /,17.089589,58312,3332.163957,ok,,
ssh,find /,1,55,1,find /,22.473773,58312,2533.856353,ok,,
ssh,find /,1,56,1,find /,15.781376,58327,3609.315242,ok,,
ssh,find /,1,57,1,find /,18.858936,58312,3019.540047,ok,,
ssh,find /,1,58,1,find /,21.357924,58312,2666.238184,ok,,
ssh,find /,1,59,1,find /,19.052664,58312,2988.837283,ok,,
ssh,find /,1,60,1,find /,17.900618,58312,3181.192543,ok,,
ssh,find /,1,61,1,find /,20.828258,58327,2734.744352,ok,,
ssh,find /,1,62,1,find /,20.080589,58312,2835.838755,ok,,
ssh,find /,1,63,1,find /,17.478629,58312,3257.996522,ok,,
ssh,find /,1,64,1,find /,17.767466,58312,3205.032867,ok,,
ssh,find /,1,65,1,find /,20.828918,58312,2733.954423,ok,,
ssh,find /,1,66,1,find /,18.273896,58312,3116.210823,ok,,
ssh,find /,1,67,1,find /,18.587706,58312,3063.600882,ok,,
ssh,find /,1,68,1,find /,20.847950,58312,2731.458609,ok,,
ssh,find /,1,69,1,find /,18.349186,58312,3103.424452,ok,,
ssh,find /,1,70,1,find /,19.513379,58312,2918.270203,ok,,
ssh,find /,1,71,1,find /,23.269122,58312,2447.248010,ok,,
ssh,find /,1,72,1,find /,14.972166,58312,3803.411778,ok,,
ssh,find /,1,73,1,find /,23.369335,58327,2437.380479,ok,,
ssh,find /,1,74,1,find /,21.013150,58327,2710.681689,ok,,
ssh,find /,1,75,1,find /,17.258869,58312,3299.481125,ok,,
ssh,find /,1,76,1,find /,16.985070,58312,3352.668697,ok,,
ssh,find /,1,77,1,find /,17.431358,58312,3266.831678,ok,,
ssh,find /,1,78,1,find /,19.999824,58312,2847.290681,ok,,
ssh,find /,1,79,1,find /,17.873361,58312,3186.043884,ok,,
ssh,find /,1,80,1,find /,24.221235,58312,2351.049090,ok,,
ssh,find /,1,81,1,find /,14.425648,58312,3947.504646,ok,,
ssh,find /,1,82,1,find /,29.823903,58312,1909.384982,ok,,
ssh,find /,1,83,1,find /,30.433565,58312,1871.135127,ok,,
ssh,find /,1,84,1,find /,18.387693,58312,3096.925346,ok,,
ssh,find /,1,85,1,find /,19.557718,58312,2911.654238,ok,,
ssh,find /,1,86,1,find /,25.269579,58312,2253.512514,ok,,
ssh,find /,1,87,1,find /,18.073370,58312,3150.785520,ok,,
ssh,find /,1,88,1,find /,13.032059,58312,4369.632803,ok,,
ssh,find /,1,89,1,find /,18.189417,58312,3130.683765,ok,,
ssh,find /,1,90,1,find /,19.692319,58312,2891.752490,ok,,
ssh,find /,1,91,1,find /,20.100566,58312,2833.020349,ok,,
ssh,find /,1,92,1,find /,22.869757,58312,2489.983278,ok,,
ssh,find /,1,93,1,find /,13.607297,58312,4184.909942,ok,,
ssh,find /,1,94,1,find /,17.646873,58312,3226.935021,ok,,
ssh,find /,1,95,1,find /,26.513007,58312,2147.825499,ok,,
ssh,find /,1,96,1,find /,14.507875,58312,3925.131179,ok,,
ssh,find /,1,97,1,find /,17.683480,58312,3220.254865,ok,,
ssh,find /,1,98,1,find /,18.543375,58312,3070.924926,ok,,
ssh,find /,1,99,1,find /,21.194559,58327,2687.480355,ok,,
ssh,find /,1,100,1,find /,18.168497,58312,3134.288571,ok,,
ssh,find /,2,1,1,find /,29.661980,58312,1919.808202,ok,,
ssh,find /,2,2,1,find /,20.178029,58312,2822.144447,ok,,
ssh,find /,2,3,1,find /,19.290375,58312,2952.006506,ok,,
ssh,find /,2,4,1,find /,22.141073,58312,2571.931022,ok,,
ssh,find /,2,5,1,find /,16.075629,58312,3542.338063,ok,,
ssh,find /,2,6,1,find /,22.912406,58312,2485.348440,ok,,
ssh,find /,2,7,1,find /,20.541623,58312,2772.191491,ok,,
ssh,find /,2,8,1,find /,20.786490,58312,2739.534789,ok,,
ssh,find /,2,9,1,find /,19.524982,58312,2916.535979,ok,,
ssh,find /,2,10,1,find /,19.808032,58312,2874.859678,ok,,
ssh,find /,2,11,1,find /,21.478693,58312,2651.246633,ok,,
ssh,find /,2,12,1,find /,28.388679,58312,2005.916249,ok,,
ssh,find /,2,13,1,find /,11.803179,58312,4824.574168,ok,,
ssh,find /,2,14,1,find /,23.873141,58312,2385.329710,ok,,
ssh,find /,2,15,1,find /,16.737616,58312,3402.235569,ok,,
ssh,find /,2,16,1,find /,23.397676,58312,2433.802079,ok,,
ssh,find /,2,17,1,find /,22.457952,58312,2535.641384,ok,,
ssh,find /,2,18,1,find /,13.517145,58312,4212.821014,ok,,
ssh,find /,2,19,1,find /,21.900863,58312,2600.140118,ok,,
ssh,find /,2,20,1,find /,21.252736,58312,2679.434427,ok,,
ssh,find /,2,21,1,find /,21.590433,58312,2637.525264,ok,,
ssh,find /,2,22,1,find /,21.105668,58312,2698.105196,ok,,
ssh,find /,2,23,1,find /,16.139376,58312,3528.346604,ok,,
ssh,find /,2,24,1,find /,25.027013,58312,2275.353935,ok,,
ssh,find /,2,25,1,find /,13.356262,58312,4263.566595,ok,,
ssh,find /,2,26,1,find /,20.616329,58312,2762.146088,ok,,
ssh,find /,2,27,1,find /,21.125029,58312,2695.632394,ok,,
ssh,find /,2,28,1,find /,20.278992,58312,2808.093839,ok,,
ssh,find /,2,29,1,find /,18.881228,58312,3015.975047,ok,,
ssh,find /,2,30,1,find /,22.708249,58312,2507.692799,ok,,
ssh,find /,2,31,1,find /,17.404296,58327,3272.752942,ok,,
ssh,find /,2,32,1,find /,20.263891,58312,2810.186479,ok,,
ssh,find /,2,33,1,find /,18.960174,58312,3003.417189,ok,,
ssh,find /,2,34,1,find /,19.841170,58312,2870.058192,ok,,
ssh,find /,2,35,1,find /,19.474474,58312,2924.100158,ok,,
ssh,find /,2,36,1,find /,23.303062,58312,2443.683688,ok,,
ssh,find /,2,37,1,find /,18.666045,58312,3050.743342,ok,,
ssh,find /,2,38,1,find /,22.042264,58312,2583.460233,ok,,
ssh,find /,2,39,1,find /,16.519719,58312,3447.111449,ok,,
ssh,find /,2,40,1,find /,20.346497,58327,2799.497178,ok,,
ssh,find /,2,41,1,find /,20.605183,58312,2763.640221,ok,,
ssh,find /,2,42,1,find /,26.057886,58312,2185.338922,ok,,
ssh,find /,2,43,1,find /,13.835222,58312,4115.966661,ok,,
ssh,find /,2,44,1,find /,21.152885,58327,2692.775049,ok,,
ssh,find /,2,45,1,find /,22.504130,58312,2530.438302,ok,,
ssh,find /,2,46,1,find /,18.437349,58312,3088.584617,ok,,
ssh,find /,2,47,1,find /,18.091253,58312,3147.671004,ok,,
ssh,find /,2,48,1,find /,18.041135,58312,3156.415187,ok,,
ssh,find /,2,49,1,find /,22.430570,58312,2538.736755,ok,,
ssh,find /,2,50,1,find /,27.591639,58312,2063.861175,ok,,
ssh,find /,2,51,1,find /,16.146796,58312,3526.725209,ok,,
ssh,find /,2,52,1,find /,18.594524,58327,3063.265343,ok,,
ssh,find /,2,53,1,find /,19.261413,58312,2956.445225,ok,,
ssh,find /,2,54,1,find /,18.702280,58312,3044.832635,ok,,
ssh,find /,2,55,1,find /,20.026034,58312,2843.564158,ok,,
ssh,find /,2,56,1,find /,25.008470,58327,2277.626778,ok,,
ssh,find /,2,57,1,find /,18.262054,58312,3118.231525,ok,,
ssh,find /,2,58,1,find /,21.231413,58312,2682.125420,ok,,
ssh,find /,2,59,1,find /,18.840735,58327,3023.234547,ok,,
ssh,find /,2,60,1,find /,20.101121,58312,2832.942128,ok,,
ssh,find /,2,61,1,find /,22.004992,58312,2587.836092,ok,,
ssh,find /,2,62,1,find /,22.433282,58327,2539.082821,ok,,
ssh,find /,2,63,1,find /,17.941065,58312,3174.020745,ok,,
ssh,find /,2,64,1,find /,25.822660,58312,2205.245800,ok,,
ssh,find /,2,65,1,find /,15.549770,58327,3663.074176,ok,,
ssh,find /,2,66,1,find /,21.668867,58327,2628.654324,ok,,
ssh,find /,2,67,1,find /,20.090653,58312,2834.418199,ok,,
ssh,find /,2,68,1,find /,15.753673,58312,3614.732418,ok,,
ssh,find /,2,69,1,find /,25.428146,58312,2239.459869,ok,,
ssh,find /,2,70,1,find /,15.397996,58312,3698.228815,ok,,
ssh,find /,2,71,1,find /,23.753441,58312,2397.350030,ok,,
ssh,find /,2,72,1,find /,18.577822,58312,3065.230817,ok,,
ssh,find /,2,73,1,find /,18.922903,58327,3010.106903,ok,,
